Symbol,cash_ratio,return_to_equity,price_to_book,pe,short_interest_ratio,debt_to_equity,eps,last_price,previous_year_price
DDD,0.558,-12.35229018,2.637219037,null,22.379,1.2404,-0.19,14.2,9.51
MMM,0.4571,37.66730402,10.51955442,25.3366,2.959,142.6619,1.01,199.15,236.58
WBAI,6.1543,-20.76491578,3.134656689,null,26.07,1.913,-1.4,15.97,9.54
WUBA,0.9377,7.842562916,3.466236269,247.7696,1.584,4.1318,1.18,69.68,68.93
EGHT,4.0372,-41.19122937,7.98930179,31.7871,2.115,0,-0.14,19.775,14.1
AHC,1.6529,12.38072109,1.109513513,971.1333,1.213,0,-0.19,4.75,4.85
ATEN,3.3858,-19.27119588,4.96826244,null,5.319,null,null,6.34,7.69
AAC,0.3138,-12.45305726,1.540615894,12.3618,14.426,193.2304,-0.01,9.86,9.11
AIR,0.0307,2.743072908,1.757295253,23.9651,4.814,21.2413,null,47.9,41.69
AAN,0.7262,17.90218294,1.788510559,17.3021,7.15,20.4146,0.75,44.62,36.02
ABB,0.253,14.82840492,null,null,2.974,57.9395,null,21.855,26.03
ABT,0.4486,1.516865569,3.383090131,34.7967,2.721,69.7188,0.24,61.84,55.7
ABBV,0.5554,148.567419,41.46234678,15.5738,2.944,1049.4512,1.74,93.06,96.3
ANF,1.0005,2.240878481,1.528104197,119.5957,5.754,25.3692,-0.62,26.712,17.45
AGD,0.8459,null,null,null,0.527,null,null,10.39,10.62
AWP,0.8101,null,null,null,0.179,null,null,6.3693,6.53
ACP,1.331,null,null,null,0.134,null,null,13.89,13.92
JEQ,1.2824,null,null,null,0.394,null,null,8.8,9.35
AOD,null,null,null,null,0.161,null,null,8.845,9.18
ABM,0.0981,7.033948277,1.366666874,20.8032,5.796,77.0778,0.4,30.25,43.83
AKR,0.099,3.398681942,1.522830835,55.3032,5.364,100.0883,0.09,28.0701,27.28
ACN,0.4204,40.67884435,10.27190119,21.5394,4.595,0.2978,null,158.33,152.1
ACCO,0.2509,18.68843611,1.884738562,15.5922,8.348,124.3268,0.1,13.825,12.45
ATV,0.3841,null,0.874750805,null,0.1,null,null,15.7203,16.0795
ATU,0.6058,-14.1135676,2.940780463,25.1396,16.323,92.8789,0.48,29.3,26
AYI,0.4799,19.82793699,2.986441755,27.9813,8.777,21.8181,null,122.51,174.23
GOLF,0.5595,11.76630785,2.108809945,20.8663,32.925,67.1033,0.56,24.58,19.78
ADX,0.4509,null,null,null,3.771,null,null,15.4857,14.84
PEO,null,null,null,null,4.225,null,null,20.12,19.03
AGRO,0.6044,2.143245161,1.6236664,55.1124,1.72,132.2351,0.0703,8.52,10.22
ADNT,0.0977,4.259187119,1.14687814,5.7873,11.915,90.3908,-1.8,50.11,80.38
ADT,0.0796,9.467334467,2.72482013,33.7049,10.547,217.726,null,8.905,
ATGE,0.6519,0.860483887,1.807249847,15.4376,10.076,7.7008,0.64,47.4,45.15
AAP,0.6168,15.35005424,2.83900553,19.6349,3.624,29.4578,1.85,136.606,103.03
ADSW,0.7294,5.502989493,2.411083253,90.4029,1.458,215.4388,0.02,25.37,23.31
WMS,0.7119,76.81781348,13.73087983,35.8453,6.958,323.3624,-0.11,29.05,22.6
ASIX,0.0381,41.3137885,2.930791943,10.9684,3.334,59.0004,0.38,38.4,40.64
AAV,0.0494,4.883025328,null,null,10.081,17.9368,null,3.225,4.05
AVK,0.0932,null,null,null,0.376,null,null,15.322,15.83
AGC,0.0795,null,null,null,0.359,null,null,5.61,5.99
LCM,null,null,null,null,0.12,null,null,7.79,8.32
ACM,0.1433,4.782928314,1.289196675,15.1702,5.091,97.7223,-0.75,33.66,38.82
ANW,0.1537,-5.021025878,0.04842298,15.0213,8.199,null,null,0.74,4.25
AEB,null,null,null,null,null,null,null,null,
AED,null,null,null,null,null,null,null,null,
AEG,null,11.38012154,null,null,5.218,null,null,5.96,6.2
AEH,null,null,null,null,null,null,null,null,
AER,null,12.62692129,0.923256046,7.6409,8.271,336.2219,1.8,54.28,52.54
HIVE,1.0564,-98.06857037,11.64212349,null,2.778,99.1277,-0.13,4.26,5.59
AJRD,0.6681,-0.619914762,12.58787261,15.5126,15.672,362.8842,0.19,29.99,30.64
AET,0.5279,22.79265469,3.788040493,15.7018,3.337,55.8544,3.69,188.46,181.33
AMG,null,19.8322753,2.427503429,18.3473,3.177,76.2333,2.8,151.445,196.75
AFL,null,20.1537186,1.401901192,11.2939,4.434,22.1188,0.92,43.91,88.76
MITT,null,17.01518619,1.015214706,7.5362,3.02,527.2123,0.17,19.09,19.2
MITT^A,null,null,null,null,null,null,null,null,
MITT^B,null,null,null,null,null,null,null,null,
AGCO,0.1282,7.53056735,1.561649547,28.3103,4.958,69.3996,0.31,60.81,71.7
A,2.1212,5.275459098,4.285189639,30.7031,1.316,45.8487,0.64,62.465,67.06
AEM,2.2059,4.380632463,null,null,3.99,27.8374,null,44.82,41.98
ADC,null,7.52035043,1.829658889,29.0511,16.712,61.0679,0.53,53.97,50.19
AL,0.2148,20.34558289,1.028082551,10.8464,7.846,233.9338,1.07,42.43,44.45
APD,1.7087,7.131812971,1.501627134,23.7389,2.316,15.7136,1.9,157.4,162.89
AYR,1.8284,8.534987655,0.847635336,10.0735,0.961,217.5749,0.73,21,23.51
AKS,0.0444,null,null,7.0238,5.257,null,0.09,4.475,5.33
ALP^Q,null,null,null,null,null,null,null,null,
ALG,0.7514,10.75217604,2.257165829,22.4209,1.271,31.5782,1.26,93.08,111.08
AGI,2.0139,1.156587427,null,null,2.524,0,null,5.605,6.15
ALK,0.5107,28.91678289,2.229556176,12.3571,3.142,71.2126,0.03,60.59,69.8
AIN,0.8652,5.82387076,3.290438927,40.1293,4.173,87.9575,0.32,61.225,61.1
ALB,0.7967,3.640693258,2.693337081,27.406,7.18,38.8407,1.19,95.69,130.36
AA,0.4019,2.525791533,1.52249673,11.6696,1.364,27.1982,0.81,46.52,42.4
ALEX,null,24.79926712,null,45.6619,2.309,null,0.71,22.52,28.65
ALX,null,14.87652592,6.327158637,25.3527,3.405,398.5351,-1.9,385,398.14
ARE,null,4.695753027,2.107824954,171.5347,9.509,86.9886,1.33,125.64,131.4
ARE^D,null,null,null,null,null,null,null,null,
AQN,0.1659,5.282940146,null,null,5.276,152.9895,null,9.7,10.98
BABA,1.6082,19.85197504,8.688832913,51.5052,8.124,34.3208,2.95,189.73,174.64
Y,1.4262,1.35918961,1.074711376,19.7506,1.452,18.4019,11.15,585.64,582.96
ATI,1.3804,-3.172545752,1.703564354,167.8524,15.316,86.615,0.46,25.51,23.26
ALLE,1.6427,91.2413566,15.91875076,24.9861,6.593,331.0088,0.76,77.64,82.15
AGN,1.5478,-2.951347563,0.800350047,1057.9848,1.988,36.7252,-0.99,169.6,171.87
ALE,0.2465,8.500048795,1.879263383,23.0298,2.412,71.6493,1,77.62,77.37
AKP,null,null,null,null,0.261,null,null,13.19,13.56
ADS,0.3231,47.9122708,6.501852352,21.597,4.693,304.247,2.96,232.48,238.34
AFB,null,null,null,null,0.226,null,null,12.67,13.63
AOI,0.6638,22.06048163,0.615859971,null,1.087,495.6795,-0.5,17.3,12.9
AWF,0.3437,null,null,null,0.109,null,null,11.5368,12.71
AB,0.2605,14.39715209,1.795579633,10.8486,1.45,0,0.6,28.5,24.95
LNT,0.2812,11.75631121,2.29977461,17.4866,3.991,126.2886,0.52,42.15,44.01
CBH,0.4148,null,null,null,0.235,null,null,9.2892,9.14
NCV,null,null,null,null,7.746,null,null,6.98,7.04
NCZ,null,null,null,null,3.46,null,null,6,6.17
ACV,null,null,null,null,0.093,null,null,23.475,21.82
NIE,null,null,null,null,0.21,null,null,22.31,21.29
NFJ,null,null,null,null,0.155,null,null,12.72,13.58
ALSN,0.4472,79.27927928,7.87268256,20.4114,4.651,360.3399,1.09,40.705,41.4
ALL,null,16.66086957,1.537231217,12.309,3.75,32.7655,2.67,91.52,103.54
ALL^A,null,null,null,null,null,null,null,null,
ALL^B,null,null,null,null,null,null,null,null,
ALL^C,null,null,null,null,null,null,null,null,
ALL^D,null,null,null,null,null,null,null,null,
ALL^E,null,null,null,null,null,null,null,null,
ALL^F,null,null,null,null,null,null,null,null,
ALL^G,null,null,null,null,null,null,null,null,
ALLY,null,7.297614096,0.847719534,10.0903,4.993,417.6731,0.57,25.75,29.16
ALLY^A,null,null,null,null,null,null,null,null,
AYX,1.4146,-11.78099451,13.91993425,null,6.099,0,-0.09,36.58,27.64
ATUS,0.5172,37.95532331,2.274547883,7.9119,6.355,381.4418,-0.17,17.03,19.05
MO,0.2931,77.44991683,6.990818333,24.2783,2.608,90.2754,1,56.2147,71.72
ACH,0.2813,3.501074874,null,null,7.374,195.4478,null,10.89,15.65
AMBR,0.1991,-40.17695772,9.0729276,null,2.422,32.4708,-0.11,9.45,7.34
ABEV,0.3486,15.99019296,null,null,0.384,9.1508,null,4.75,6.47
AMC,0.2462,-20.39257521,0.996478935,25.327,9.872,235.1604,0.14,16.05,15.25
AEE,0.009,8.003358052,1.992937811,19.1154,2.163,123.0429,0.62,59.98,61.36
AMRC,0.197,14.1745566,1.606801979,22.2276,1.836,71.8993,0.15,11.769,8.7
AMOV,null,5.735626874,null,null,0.007,null,null,16.34,16.88
AMX,null,5.735626874,null,null,2.623,null,null,16.45,17.07
AAT,null,2.561883226,2.202913362,69.6997,1.628,155.9699,-0.01,38.46,39.06
AXL,0.2524,29.55231605,1.088922377,4.3721,6.272,238.7687,0.78,16.6848,17.2
ACC,null,1.754393291,1.703307456,63.3759,3.067,90.6757,0.19,42.98,43.55
AEO,0.5354,18.82418007,3.463388383,10.1157,2.426,0,0.23,23.76,17.19
AEP,0.408,9.808505347,1.819602662,18.8882,2.787,130.3752,0.92,69.09,76.02
AEL,0.4658,10.50196249,1.263382015,15.0809,2.458,28.9315,1.57,35.53,32.22
AXP,0.8524,14.87126369,4.326966821,16.9681,2.242,276.9235,1.86,98.6918,99.37
AFG,0.7123,9.003277424,1.842446024,14.5986,3.063,25.1013,1.64,106.72,105.3
AFGE,null,null,null,null,null,null,null,null,
AFGH,null,null,null,null,null,null,null,null,
AMH,null,-0.388511027,1.502702934,618.0079,3.032,65.24,0.02,22.08,21.88
AMH^D,null,null,null,null,null,null,null,null,
AMH^E,null,null,null,null,null,null,null,null,
AMH^F,null,null,null,null,null,null,null,null,
AMH^G,null,null,null,null,null,null,null,null,
AIG,null,-9.251722551,0.771275291,24.5387,3.087,53.5403,1.03,53.66,59.93
AIG.WS,null,null,null,null,null,null,null,null,
AMID,0.0499,-76.0803605,4.240535093,null,2.411,919.9047,-0.42,10.4,13.1
ARL,null,-4.645173516,2.601441845,null,0.049,939.0806,-0.06,15.8,14.22
ARA,0.3893,null,null,28.5429,17.838,null,-0.01,16.17,15.91
AWR,0.0305,13.0475158,4.029781416,27.8618,8.801,73.4443,0.29,57.91,55.02
AMT,null,20.29971617,9.899169081,50.5548,2.35,337.4065,0.63,143.54,143.51
AVD,0.0966,7.143510488,2.2089534,34.3841,7.865,28.7701,0.16,23.4,18.7
AWK,0.0217,8.176569194,2.767120592,27.5378,6.996,146.8905,0.6,85.51,89.32
COLD,null,null,11.83415455,null,0.674,523.9494,-0.08,22.44,0
APU,0.01,15.01734311,4.629716578,31.5444,5.643,323.3849,1.44,41.07,45.02
AMP,0.0083,27.69536753,3.559405952,12.8653,2.147,90,3.97,140.98,168.6
ABC,0.1136,29.91417289,6.339555239,18.0406,5.07,142.1278,1.31,91.07,87.82
ANFI,0.0744,10.37449346,0.31613334,6.0749,5.211,null,null,2.38,4.39
AMN,0.217,26.62234287,4.777284697,16.8581,11.531,53.4088,0.89,60.85,48.3
AMRX,null,null,null,null,7.944,null,null,16.65,17.85
AP,0.1348,-4.142612612,0.778987673,null,15.94,51.074,0.08,10.65,12.8
APH,0.4689,18.14625694,6.742235248,24.6504,3.904,82.764,0.87,87.76,89.67
AXR,2.0213,-2.44015334,0.681496378,1040.1964,8.553,null,null,7.16,6.99
AME,1.9019,19.02796718,3.988357163,25.3368,1.782,52.4618,0.79,73.59,72.13
AFSI^A,1.4101,null,null,null,null,null,null,null,
AFSI^B,null,null,null,null,null,null,null,null,
AFSI^C,null,null,null,null,null,null,null,null,
AFSI^D,null,null,null,null,null,null,null,null,
AFSI^E,null,null,null,null,null,null,null,null,
AFSI^F,null,null,null,null,null,null,null,null,
AFSS,null,null,null,null,null,null,null,null,
AFST,null,null,null,null,null,null,null,null,
APC,0.71,-0.242753799,4.143728477,null,2.941,187.6673,0.23,75.44,48.54
ANDV,0.0952,21.82828416,2.052825323,25.8226,2.311,90.6665,1.13,132.37,110.4
ANDX,0.0583,8.394205769,1.502565895,30.9629,3.124,66.1352,0.59,42.49,47.06
AU,null,-7.103012272,null,null,2.498,null,null,8.1,8.98
BUD,null,11.11141992,null,null,2.418,null,null,98.54,111.12
AXE,0.0859,7.775621803,1.44331431,17.9974,3.689,86.2055,0.95,64.675,70.55
NLY,0.0606,19.83464306,1.017790188,9.5403,3.158,641.7187,1.12,10.5956,12.06
NLY^C,null,null,null,null,null,null,null,null,
NLY^D,null,null,null,null,null,null,null,null,
NLY^F,null,null,null,null,null,null,null,null,
NLY^G,null,null,null,null,null,null,null,null,
AMGP,0.6966,95.4919509,164.716619,145.3636,6.585,0,0.07,18.49,18.96
AM,0.1079,16.86646067,3.700390684,21.3459,4.145,84.5668,0.43,30.09,28.56
AR,0.0293,4.570297912,0.796809195,67.8538,11.087,59.6091,0.05,21.35,18.55
ANTM,0.973,15.61229505,2.301211854,16.022,3.885,73.6177,5.13,242.27,228.75
ANH,null,4.891214129,0.945403332,17.4416,3.366,906.8846,-0.05,5.12,5.59
ANH^A,null,null,null,null,null,null,null,null,
ANH^B,null,null,null,null,null,null,null,null,
ANH^C,null,null,null,null,null,null,null,null,
AON,0.0524,27.66169154,6.320341039,34.0194,2.689,115.0726,2.39,137.2,138.5
APA,0.4599,17.80082091,2.222481849,179.9092,9.676,111.117,0.38,45.7,39.72
AIV,null,24.32894408,4.307863904,252.5953,3.805,261.9394,0.52,42.39,43.88
AIV^A,null,null,null,null,null,null,null,null,
APY,0.1077,null,1.72630569,null,1.522,0,0.3175,39.43,
ARI,null,9.266581435,1.144216441,11.7172,11.13,89.6773,0.38,18.67,18.69
ARI^C,null,null,null,null,null,null,null,null,
APO,null,26.64617968,6.229868797,11.5695,5.028,238.6155,-1,30.98,32.62
APO^A,null,null,null,null,null,null,null,null,
APO^B,null,null,null,null,null,null,null,null,
AIY,null,null,null,null,null,null,null,null,
AFT,null,null,null,null,0.155,null,null,16.52,16.48
AIF,null,null,null,null,0.176,null,null,15.64,15.71
APLE,null,5.403190088,1.193642493,19.5843,3.677,37.3251,0.18,18.43,19.65
AIT,0.3392,20.401244,3.50940357,21.0672,2.138,128.5947,0.95,73.2,62.65
ATR,0.2775,17.20429294,4.102191162,26.2703,6.887,90.4485,0.95,93.555,86.43
APTV,0.3141,43.89679127,7.237626376,13.0476,3.712,121.8056,1.1555,95.63,85.67
WTR,0.1176,12.58039697,3.15084315,25.4928,12.357,111.5491,0.29,35.04,37.27
AQ,4.5579,null,4.629551536,null,4.186,0,-0.04,12.11,10.86
WAAS,4.8869,-7.377911643,1.225446921,null,26.099,50.6671,-0.24,15.44,15.31
ARMK,0.1008,19.78763927,3.328264207,26.8873,6.462,279.7948,0.11,37.97,42.27
ABR,0.0923,13.57222273,1.013668165,8.1406,7.091,431.3966,0.42,10.1325,8.66
ABR^A,0.0807,null,null,null,null,null,null,null,
ABR^B,null,null,null,null,null,null,null,null,
ABR^C,null,null,null,null,null,null,null,null,
ARC,0.2132,-15.92079987,0.643424659,17.2057,6.095,104.9716,0.01,1.88,2.48
MT,0.0982,13.152548,null,null,1.819,32.9812,null,30.2,31.73
ARCH,1.4416,33.11935299,2.37014844,12.854,6.375,46.7811,2.87,80.31,85.76
ADM,0.06,9.198672357,1.377505868,16.0642,2.664,48.0461,0.7,46.52,41.77
AROC,0.0249,3.567794344,1.077053984,127.1693,0.829,182.4222,-0.06,12.4,9.7
ARNC,0.43,-6.453674121,1.537463615,28.2213,3.235,121.8876,0.3,17.32,24.65
ARCO,0.5223,20.19572036,3.30072522,61.796,0.214,142.123,0,7.15,9.75
RCUS,19.6452,null,2.441182361,null,19.277,0,-1.37,14.23,
ARD,0.203,null,null,25.3674,4.001,null,-0.06,16.435,20.17
ASC,0.5642,-3.971840027,0.723031284,null,6.276,119.4241,-0.16,8.55,7.8
AFC,null,null,null,null,null,null,null,null,
ACRE,null,7.935092129,0.95371864,13.4336,0.902,246.5454,0.33,13.94,13.34
ARDC,null,null,null,null,0.452,null,null,16.23,16.23
ARES,null,46.33656212,5.596385863,4.5812,1.947,1631.8526,0.39,21.05,18.8
ARES^A,null,null,null,null,null,null,null,null,
AGX,1.4647,16.69832209,1.565196145,12.9531,1.495,0,0.31,40.4,42.8
ARGD,1.5708,null,null,null,null,null,null,null,
ARGO,1.6547,2.120375483,1.137856441,13.9554,2.444,32.6004,0.73,59.85,60.75
ANET,1.7789,31.51877083,10.54449112,42.2707,4.362,2.0129,1.95,260.93,218.25
AI,2.2114,-12.98681972,0.977432059,18.2008,8.69,1176.217,-2,10.82,12.15
AI^B,null,null,null,null,null,null,null,null,
AIC,null,3.714717997,null,null,null,null,null,#N/A Real Time,24.254
AIW,null,null,null,null,null,null,null,null,
AHH,null,10.75775695,3.04336509,78.8586,2.995,262.105,0.11,15.1,15.59
ARR,null,15.91149053,0.932943389,3.2895,7.166,664.622,0.97,22.82,26.09
ARR^A,null,null,null,null,null,null,null,null,
ARR^B,null,null,null,null,null,null,null,null,
AFI,0.1932,-7.682325461,0.683849331,145.1031,5.531,16.7587,-0.4,14.63,16.51
AWI,0.4769,44.88888889,8.04694188,19.5634,4.521,208.6677,0.53,63.15,59.6
ARW,0.0789,8.887372837,1.297219316,12.1785,4.427,70.0303,1.58,77.46,78.36
AJG,0.0901,16.65871764,2.666599723,14.8618,1.99,69.8201,1.51,66.05,64.79
APAM,null,34.07760966,13.94575907,20.8382,8.233,113.9918,0.75,30,39.6
ASA,null,null,null,null,0.167,null,null,10.1248,10.65
ABG,0.0044,40.19377163,3.527901805,9.0651,9.9,392.9295,1.95,72.15,66.45
ASX,null,null,null,null,1.637,null,null,4.56,
ASGN,0.4263,17.15353718,3.996885864,25.2312,1.847,54.933,0.56,78.42,62.85
AHT,null,-66.25112245,4.190501772,null,3.37,2198.0074,-0.39,7.6,6.71
AHT^D,null,null,null,null,null,null,null,null,
AHT^F,null,null,null,null,null,null,null,null,
AHT^G,null,null,null,null,null,null,null,null,
AHT^H,null,null,null,null,null,null,null,null,
AHT^I,null,null,null,null,null,null,null,null,
ASH,0.5992,-0.646013801,1.385277281,46.5154,4.875,75.1353,1.17,78.54,71.03
APB,0.316,null,null,null,3.498,null,null,13.812,14.38
ASPN,0.6109,-16.90103226,1.275629388,null,4.125,0,-0.29,4.95,4.99
AHL,null,-13.91819079,1.070045767,31.2093,4.692,24.8144,0.39,41.85,41.75
AHL^C,null,null,null,null,null,null,null,null,
AHL^D,null,null,null,null,null,null,null,null,
ASB,null,7.130751553,1.340005736,18.1295,3.59,154.2413,0.41,27.925,25.3
ASB^C,null,null,null,null,null,null,null,null,
ASB^D,null,null,null,null,null,null,null,null,
AC,null,-0.035487745,1.039391164,null,17.876,0.587,-0.95,39.8,33.85
AIZ,null,11.52479937,1.293895004,13.2226,2.214,47.6977,1.99,102.49,100.3
AIZP,null,null,null,null,null,null,null,null,
AGO,null,9.075329707,0.601901789,6.753,9.989,18.8827,1.71,35.51,35.45
AGO^B,null,null,null,null,null,null,null,null,
AGO^E,null,null,null,null,null,null,null,null,
AGO^F,null,null,null,null,null,null,null,null,
AZN,0.2131,21.64916615,null,null,2.471,153.7282,null,34.9093,33.42
HOME,0.0369,6.865804192,3.621587299,35.1345,5.202,81.3164,0.3,39.66,28.58
T,0.0276,22.71862871,1.340561521,16.1303,7.46,111.7366,0.75,31.875,38.1
TBB,0.029,null,null,null,null,null,null,null,
ATTO,0.0249,-6.856369499,1.41270384,25.4834,1.047,134.1047,-0.02,6.875,9.9
ATH,0.0368,16.3515836,1.009938406,127.5974,1.787,11.4089,1.36,44.21,51.72
ATKR,0.207,64.03447163,15.8773441,15.5058,0.347,1463.0834,0.83,21.37,20.95
AT,0.3532,null,null,null,2.185,null,null,2.275,2.45
ATO,0.0571,14.01812251,2.123305608,23.0417,2.775,67.7242,1.6,89.46,89.28
AUO,0.0527,13.54703305,null,null,43.185,50.7404,null,4.18,4.18
ATHM,2.4953,28.42123863,9.694255935,24.2007,3.091,0,4.11,101,57.54
ALV,0.2826,10.17134208,3.064920955,17.0059,12.795,33.5029,1.46,147.495,128.5
ALV$,null,null,null,null,null,null,null,null,
AN,0.0106,17.53735146,1.809668515,11.0312,6.442,258.2103,1.02,49.79,54.48
AZO,0.0654,null,null,13.2112,1.693,null,13.62,681.91,711.05
AVLR,0.0508,null,null,null,null,null,null,49.075,
AVB,0.0583,7.598296762,2.291480636,43.6451,3.823,73.5305,1.03,172.01,183.64
AGR,0.0147,2.538638606,1.055347665,20.4759,2.683,39.7864,0.79,51.94,51.19
AVYA,0.4049,null,1.25487944,null,2.706,164.5216,-1.18,19.98,0
AVY,0.2877,28.01881861,8.181211778,19.9659,2.071,157.1992,1.42,102.17,114.46
AVH,null,3.114900629,null,null,0.873,null,null,6.74,7.8
AVA,0.0392,6.311727566,1.969618547,19.9189,5.08,106.2341,0.84,52.73,51.4
AVP,0.4412,null,null,128.7967,5.198,null,-0.06,1.655,2.13
AVX,5.1252,0.220183223,1.182314132,20.515,5.642,0,0.19,16.1,17.22
EQH,5.1965,6.546266703,null,14.5081,2.823,0,null,20.7,
AXTA,5.303,3.169985828,5.239417581,26.4331,6.596,278.69,0.29,30.35,32.06
AXS,3.6891,-7.468349496,1.037883567,13.4551,2.866,30.6686,0.75,55.67,50.56
AXS^D,2.8082,null,null,null,null,null,null,null,
AXS^E,null,null,null,null,null,null,null,null,
AZUL,0.4132,33.56142112,null,null,3.197,112.22,null,16.77,24.1
AZRE,1.0546,null,1.949365688,null,1.679,null,-31.8424,14.72,13.23
AZZ,0.7841,8.174161165,2.000191843,25.3694,5.248,53.2366,null,44.7,47.6
BGS,2.7065,24.67469937,2.489664263,19.4871,21.524,240.2913,0.31,33.25,32.7
BW,0.0281,-160.0304984,1.452606979,null,11.178,560.8092,-2.73,2.43,4.88
BGH,0.0782,null,null,null,0.32,null,null,18.82,19.49
BMI,0.1583,12.3224184,4.646248357,34.0598,12.735,17.1593,0.26,44.9,46.6
BHGE,0.6764,null,2.529542377,59.0143,6.374,52.4277,0.17,34.38,30.95
BBN,null,null,null,null,0.014,null,null,21.88,23.13
BLL,0.1222,11.26502875,3.097580501,27.2867,8.156,185.1723,0.36,35.87,38.89
BANC,null,3.974336929,1.368377184,22.5372,14.376,291.2332,0.06,19.375,21.1
BANC^C,null,null,null,null,null,null,null,null,
BANC^D,null,null,null,null,null,null,null,null,
BANC^E,null,null,null,null,null,null,null,null,
BBVA,null,7.847761994,null,null,1.542,494.9084,null,6.925,8.47
BBD,null,13.7896663,null,null,0.74,388.1597,null,6.765,10.28
BBDO,null,13.7896663,null,null,1.846,388.1597,null,6.02,9.68
BCH,null,19.29131817,null,null,7.276,283.6827,null,93.86,84.31
BLX,null,7.071883116,0.958852075,13.1005,3.891,186.3116,0.37,25.61,29.8
BSMX,null,16.09879418,null,null,3.224,null,null,6.48,7.85
BSBR,null,11.18001479,null,null,3.081,292.1359,null,7.52,9.91
BSAC,null,18.68438175,null,null,2.505,309.8474,null,31.66,27.77
SAN,null,7.257720526,null,null,1.159,492.6807,null,5.365,6.65
SAN^B,null,null,null,null,null,null,null,null,
CIB,null,11.80802504,null,null,1.816,null,null,47.265,39.32
BXS,null,8.952248227,1.62234164,18.718,6.235,48.633,0.54,33.5,32.85
BAC,null,7.677843483,1.191778695,13.2522,1.922,227.3113,0.63,28.745,29.32
BAC.WS.A,null,null,null,null,null,null,null,null,
BAC.WS.B,null,null,null,null,null,null,null,null,
BAC^A,null,null,null,null,null,null,null,null,
BAC^B,null,null,null,null,null,null,null,null,
BAC^C,null,null,null,null,null,null,null,null,
BAC^D,null,null,null,null,null,null,null,null,
BAC^E,null,null,null,null,null,null,null,null,
BAC^I.CL,null,null,null,null,null,null,null,null,
BAC^L,null,null,null,null,null,null,null,null,
BAC^W,null,null,null,null,null,null,null,null,
BAC^Y,null,null,null,null,null,null,null,null,
BML^G,null,null,null,null,null,null,null,null,
BML^H,null,null,null,null,null,null,null,null,
BML^I,null,null,null,null,null,null,null,null,
BML^J,null,null,null,null,null,null,null,null,
BML^L,null,null,null,null,null,null,null,null,
BOH,null,15.40760702,2.878023605,19.4561,10.018,59.7,1.29,84.395,84.85
BMO,null,11.60104397,null,null,13.511,277.9907,null,76.97,78.45
NTB,null,20.66092667,null,null,2.588,14.2124,null,46.65,37.75
BK,null,11.20327451,1.464429501,15.0186,2.924,200.5264,1.11,55.38,54.97
BK^C,null,null,null,null,null,null,null,null,
BNS,null,14.75937923,null,null,8.622,219.3552,null,57.21,64.57
BKU,null,22.03236043,1.498243154,14.8126,3.266,158.2372,0.78,42.47,39.93
BCS,null,-5.305098502,null,null,3.77,324.2161,null,10.065,10.65
BCS^D,null,null,null,null,null,null,null,null,
MCI,null,null,null,null,0.234,null,null,15.2199,15.66
MPV,null,null,null,null,0.398,null,null,14.8936,14.2
BNED,0.0202,-42.74607738,0.661201003,41.3357,6.63,41.9691,0.36,6.3,8.42
BKS,0.0272,-25.46096803,1.080140746,18.3529,9.084,38.521,-0.29,6.225,6.65
B,0.0302,4.770826393,2.400028336,20.1704,2.447,40.2199,0.73,60.015,63.23
ABX,0.039,10.15335216,1.589874781,16.4955,1.676,67.5282,0.14,12.8,13.64
BAS,0.174,-25.53558894,0.964785007,null,3.564,104.4043,-1.16,12.255,23.26
BAX,1.1154,9.378689907,4.320787975,28.328,1.835,39.0482,0.72,73.86,64.31
BTE,0,0.684073598,null,null,5.019,89.3352,null,3.3791,3.01
BBT,null,9.708592123,1.501925795,14.8094,3.05,104.7956,0.96,51.52,50.28
BBT^D,null,null,null,null,null,null,null,null,
BBT^E,null,null,null,null,null,null,null,null,
BBT^F,null,null,null,null,null,null,null,null,
BBT^G,null,null,null,null,null,null,null,null,
BBT^H,null,null,null,null,null,null,null,null,
BFR,null,15.64667884,null,null,1.513,null,null,13.78,23.16
BBX,null,14.01473681,1.494003429,16.7386,0.599,112.5886,0.11,9.03,8.06
BCE,0.1122,17.9408238,null,null,5.033,155.5743,null,40.62,48.6
BZH,0.886,-13.04776479,0.840457008,26.5414,3.368,233.7807,0.36,14.62,19.06
BDX,0.7383,-0.743215345,3.339808511,19.0117,3.943,122.0206,-0.19,242.01,218.99
BDXA,0.2863,null,null,null,null,null,null,null,
BDC,0.6159,2.554387747,1.874673545,22.9464,11.322,128.7336,-0.15,61.18,82.26
BDC^B,null,null,null,null,null,null,null,null,
BXE,0,-14.3175071,null,null,6.861,54.1682,null,0.99,1.47
BEL,0.8476,-6.065667736,1.700328748,52.4562,5.98,107.7869,-0.15,11.225,12.3
BMS,0.0874,7.24,3.025738841,18.4845,5.389,126.7889,0.52,42.17,47.02
BHE,1.395,-4.966399051,1.112706301,25.2337,1.457,16.6233,-0.49,30,29.55
BRK.A,null,null,null,null,null,null,null,null,
BRK.B,null,null,null,null,null,null,null,null,
BHLB,null,5.052537045,1.315335636,14.5712,4.525,83.4059,0.55,42.05,37.9
BERY,0.1976,46.95304695,4.659023899,21.6203,1.448,462.4712,0.69,47.05,59.8
BBY,0.2504,25.76082839,6.191037886,15.4544,3.812,39.2398,0.74,76.34,63.52
BSTI,0.5715,null,6.184656983,null,5.951,41.354,null,11.61,9.38
